seed_id	0	1
rxn14414	e	c
rxn14412	e	c
rxn14427	c	e
rxn14426	c	e
rxn14425	c	e
rxn14424	c	e
rxn14423	c	e
rxn14422	c	e
rxn14421	c	e
rxn14420	c	e
rxn14419	c	e
rxn14418	c	e
rxn14416	c	e
rxn11382	c	e
rxn11322	c	e
rxn10836	c	e
rxn10118	c	e
rxn09679	c	e
rxn08572	c	e
rxn05627	c	e
rxn05581	c	e
rxn05573	c	e
rxn05553	c	e
rxn05488	c	m
rxn05468	c	e
rxn05467	c	e
rxn05319	c	e
rxn05226	c	e
rxn10127	e	c
rxn10129	e	c
rxn05528	c	e
rxn05625	c	e
rxn10121	c	e
rxn05602	c	e
rxn10122	c	e
rxn05145	c	e
rxn05559	c	e
rxn10114	c	e
rxn10154	c	e
rxn05209	c	e
rxn05313	c	e
rxn05561	c	e
rxn10125	c	e
rxn10042	c	e
rxn10120	c	e
